latitude,longitude
38.61292672,-121.4415704
38.46292264,-121.4284026
38.46377975,-121.4312631
38.5550754,-121.4684533
38.58245172,-121.4877874
38.55645223,-121.4289124
38.54470924,-121.4490342
38.4625133,-121.4603514
38.67660642,-121.5190467
38.50751789,-121.5477443
38.56502139,-121.4763254
38.54783739,-121.4243203
38.55137298,-121.4061503
38.60824476,-121.5192803
38.54468278,-121.4591392
38.54118802,-121.459316
38.62769343,-121.4634451
38.47687825,-121.5002604
38.48227523,-121.4584554
38.66254563,-121.451289
38.51484622,-121.5249979
38.62743901,-121.5056249
38.47663386,-121.4803303
38.44973707,-121.4180465
38.61880719,-121.4796125
38.44803746,-121.4078016
38.51042757,-121.5419071
38.48243228,-121.514852
38.55155803,-121.4684935
38.58612197,-121.48322
38.60879322,-121.4306804
38.59444259,-121.4814732
38.48369463,-121.515322
38.5454679,-121.4573325
38.64036498,-121.4321298
38.57201606,-121.4692575
38.55531685,-121.4792852
38.6358152,-121.4446434
38.59156169,-121.4200242
38.53444222,-121.4079133
38.57920289,-121.493943
38.54867149,-121.4230827
38.63482334,-121.4416684
38.62073056,-121.4618489
38.60930026,-121.4770641
38.62630755,-121.4756162
38.62073678,-121.4572951
38.61538617,-121.4234494
38.51364018,-121.4211919
38.62866431,-121.4631893
38.46252937,-121.4585038
38.62968232,-121.446116
38.58514056,-121.4854381
38.57630105,-121.4319262
38.60527526,-121.4516527
38.57848338,-121.4742082
38.54102578,-121.4657714
38.51348202,-121.532542
38.56382548,-121.491401
38.60739495,-121.4205954
38.57962095,-121.5068273
38.6089261,-121.4935886
38.62275189,-121.4642874
38.65941872,-121.5096441
38.59530776,-121.4839757
38.47433302,-121.4398174
38.43840598,-121.4183343
38.54454369,-121.4558291
38.59645425,-121.4382598
38.54061027,-121.4474575
38.51007761,-121.4095726
38.60027317,-121.4252477
38.59808509,-121.4275537
38.59530776,-121.4839757
38.55614777,-121.4267606
38.63228581,-121.4303283
38.44973707,-121.4180465
38.59664183,-121.423349
38.63931448,-121.4295789
38.52823386,-121.4456482
38.47602372,-121.5014051
38.45541339,-121.4420784
38.58057689,-121.5036968
38.57218405,-121.4907608
38.49543922,-121.4799768
38.57163324,-121.4854271
38.52736754,-121.504668
38.52062063,-121.5084967
38.62635393,-121.4392039
38.57320247,-121.4747123
38.57411723,-121.4827193
38.61421301,-121.4925571
38.63939388,-121.4604896
38.57725503,-121.4806992
38.61692679,-121.4593506
38.57218529,-121.4642683
38.58245363,-121.5052755
38.53284086,-121.4959218
38.53553572,-121.4468745
38.56159185,-121.4923822
38.57240323,-121.4856804
38.61124309,-121.4755625
38.54106323,-121.47576
38.60986284,-121.4590542
38.542611,-121.4443687
38.58052209,-121.4986248
38.47764806,-121.4891676
38.65735092,-121.5102676
